Country/Region,confirmed,deaths,recovered
Afghanistan,157887,7348,0
Albania,207221,3187,0
Algeria,216098,6222,0
Andorra,21730,139,0
Angola,70221,1746,0
Antigua and Barbuda,4216,118,0
Argentina,5445236,117008,0
Armenia,344261,7939,0
Australia,291135,2188,0
Austria,1260751,13617,0
Azerbaijan,613618,8269,0
Bahamas,23539,713,0
Bahrain,279277,1394,0
Bangladesh,1582710,28055,0
Barbados,27486,260,0
Belarus,691072,5466,0
Belgium,2038111,28149,0
Belize,31503,592,0
Benin,24935,161,0
Bhutan,2659,3,0
Bolivia,575247,19530,0
Bosnia and Herzegovina,287276,13269,0
Botswana,208994,2427,0
Brazil,22234623,618655,0
Brunei,15429,98,0
Bulgaria,733139,30476,0
Burkina Faso,17040,317,0
Burma,529327,19248,0
Burundi,23657,38,0
Cabo Verde,38865,352,0
Cambodia,120440,3007,0
Cameroon,108451,1851,0
Canada,1978590,30199,0
Central African Republic,11961,101,0
Chad,5703,181,0
Chile,1797631,38984,0
China,113503,4849,0
Colombia,5118254,129686,0
Comoros,5336,153,0
Congo (Brazzaville),19490,367,0
Congo (Kinshasa),70059,1126,0
Costa Rica,568860,7343,0
Cote d'Ivoire,63392,707,0
Croatia,689831,12232,0
Cuba,964482,8317,0
Cyprus,149580,627,0
Czechia,2406989,35288,0
Denmark,647777,3114,0
Diamond Princess,712,13,0
Djibouti,13555,189,0
Dominica,6520,44,0
Dominican Republic,413191,4234,0
Ecuador,540122,33641,0
Egypt,379654,21546,0
El Salvador,121741,3817,0
Equatorial Guinea,13623,175,0
Eritrea,7853,72,0
Estonia,235668,1907,0
Eswatini,63953,1272,0
Ethiopia,390737,6888,0
Fiji,52815,697,0
Finland,230392,1507,0
France,9088232,123447,0
Gabon,38039,286,0
Gambia,10087,342,0
Georgia,920617,13367,0
Germany,6982238,110279,0
Ghana,134555,1269,0
Greece,1064243,20292,0
Grenada,5948,200,0
Guatemala,625029,16095,0
Guinea,30976,389,0
Guinea-Bissau,6462,149,0
Guyana,39042,1042,0
Haiti,25950,765,0
Holy See,27,0,0
Honduras,378685,10423,0
Hungary,1237330,38307,0
Iceland,22087,37,0
India,34779815,479520,0
Indonesia,4261412,144047,0
Iran,6181784,131306,0
Iraq,2092156,24115,0
Ireland,691557,5890,0
Israel,1362263,8241,0
Italy,5567644,136386,0
Jamaica,92355,2462,0
Japan,1730084,18382,0
Jordan,1047953,12372,0
Kazakhstan,1069409,18160,0
Kenya,277609,5357,0
Kiribati,2,0,0
"Korea, South",602045,5176,0
Kosovo,161311,2989,0
Kuwait,414761,2467,0
Kyrgyzstan,184439,2792,0
Laos,104373,305,0
Latvia,271106,4494,0
Lebanon,709242,9012,0
Lesotho,27595,665,0
Liberia,5929,287,0
Libya,384663,5641,0
Liechtenstein,5896,69,0
Lithuania,509497,7249,0
Luxembourg,98983,907,0
MS Zaandam,9,2,0
Madagascar,47295,996,0
Malawi,69735,2322,0
Malaysia,2735241,31290,0
Maldives,94564,261,0
Mali,19866,652,0
Malta,44761,473,0
Marshall Islands,4,0,0
Mauritania,40389,861,0
Mauritius,23077,240,0
Mexico,3947284,298670,0
Micronesia,1,0,0
Moldova,374120,9589,0
Monaco,4670,38,0
Mongolia,388311,2054,0
Montenegro,162364,2388,0
Morocco,954853,14825,0
Mozambique,170077,1965,0
Namibia,143576,3601,0
Nepal,826901,11582,0
Netherlands,3084534,21125,0
New Zealand,13721,49,0
Nicaragua,17442,216,0
Niger,7263,274,0
Nigeria,234709,2993,0
North Macedonia,222666,7879,0
Norway,370134,1257,0
Oman,304984,4113,0
Pakistan,1293081,28905,0
Palau,8,0,0
Panama,485512,7406,0
Papua New Guinea,36110,589,0
Paraguay,465028,16596,0
Peru,2271549,202424,0
Philippines,2838032,51050,0
Poland,4032796,94041,0
Portugal,1266037,18851,0
Qatar,247517,614,0
Romania,1801798,58507,0
Russia,10164951,296268,0
Rwanda,103799,1345,0
Saint Kitts and Nevis,2822,28,0
Saint Lucia,13248,295,0
Saint Vincent and the Grenadines,5828,81,0
Samoa,3,0,0
San Marino,7526,98,0
Sao Tome and Principe,3744,57,0
Saudi Arabia,552081,8869,0
Senegal,74302,1890,0
Serbia,1288395,12544,0
Seychelles,24249,131,0
Sierra Leone,6659,123,0
Singapore,277307,820,0
Slovakia,1347874,16290,0
Slovenia,454298,5529,0
Solomon Islands,20,0,0
Somalia,23532,1333,0
South Africa,3393109,90743,0
South Sudan,14577,135,0
Spain,5718007,89019,0
Sri Lanka,582722,14852,0
Sudan,46100,3298,0
Summer Olympics 2020,865,0,0
Suriname,51563,1186,0
Sweden,1273313,15265,0
Switzerland,1227395,12065,0
Syria,50007,2867,0
Taiwan*,16873,850,0
Tajikistan,17493,125,0
Tanzania,26483,734,0
Thailand,2204672,21528,0
Timor-Leste,19833,122,0
Togo,27405,246,0
Tonga,1,0,0
Trinidad and Tobago,88944,2718,0
Tunisia,722443,25516,0
Turkey,9268486,81258,0
US,51966735,816436,0
Uganda,131981,3274,0
Ukraine,3815440,100433,0
United Arab Emirates,747909,2155,0
United Kingdom,11958841,148324,0
Uruguay,406739,6162,0
Uzbekistan,197918,1475,0
Vanuatu,7,1,0
Venezuela,442999,5312,0
Vietnam,1620869,30766,0
West Bank and Gaza,467682,4884,0
Yemen,10109,1982,0
Zambia,228932,3691,0
Zimbabwe,202736,4871,0
